El-array	Spa.1	Spa.2	Spa.3	Spa.4	Rho	Dev.	M	Sp	Vp	In	Time	Stack	Rs-Check	Vab	Pab	Rab	Name	Channel	Tx-Bat	Rx-Bat	Temp.	Date	
Mixed/nonconventional	0	5	10	15	34.06	0.06	0	174.67	-229.344	634.588	1000	3	0	316	200	0.5	Proao2	1	10.22	12.03	13.3	19/02/2020	09:57:57
Mixed/nonconventional	0	5	15	20	24.12	0.03	0	35.61	-40.598	634.588	1000	3	0	316	200	0.5	Proao2	2	10.22	12.03	13.3	19/02/2020	09:57:57
Mixed/nonconventional	0	5	20	25	26.39	0.05	0	20.56	-17.771	634.588	1000	3	0	316	200	0.5	Proao2	3	10.22	12.03	13.3	19/02/2020	09:57:57
Mixed/nonconventional	0	5	25	30	23.02	0.04	0	-59.89	-7.749	634.588	1000	3	0	316	200	0.5	Proao2	4	10.22	12.03	13.3	19/02/2020	09:57:57
Mixed/nonconventional	0	5	30	35	27.1	0.05	0	-81.26	-5.213	634.588	1000	3	0	316	200	0.5	Proao2	5	10.22	12.03	13.3	19/02/2020	09:57:57
Mixed/nonconventional	0	10	40	50	34.94	0.2	0	16.91	-12.12	653.815	1000	3	0	305	199	0.5	Proao2	1	10.1	12.03	13.3	19/02/2020	09:58:03
Mixed/nonconventional	0	10	50	60	37.14	0.11	0	694.62	-6.442	653.815	1000	3	0	305	199	0.5	Proao2	2	10.1	12.03	13.3	19/02/2020	09:58:03
Mixed/nonconventional	0	10	60	70	52.01	0.15	0	21.77	-5.154	653.815	1000	3	0	305	199	0.5	Proao2	3	10.1	12.03	13.3	19/02/2020	09:58:03
Mixed/nonconventional	0	15	75	90	60.01	0.19	0	4.91	-6.124	577.06	1000	3	0	335	193	0.6	Proao2	1	10.1	12.03	13.3	19/02/2020	09:58:09
Mixed/nonconventional	0	15	90	105	85.56	0.28	0	364.03	-4.989	577.06	1000	3	0	335	193	0.6	Proao2	2	10.1	12.03	13.3	19/02/2020	09:58:09
Mixed/nonconventional	5	15	45	55	32.71	0.08	0	553.49	-12.402	714.75	1000	3	0	279	200	0.4	Proao2	1	9.89	12.05	13.3	19/02/2020	09:58:15
Mixed/nonconventional	10	15	20	25	33.37	0.03	0	19.08	-263.519	744.276	1000	3	0	267	199	0.4	Proao2	1	9.8	12.05	13.3	19/02/2020	09:58:21
Mixed/nonconventional	10	15	25	30	23.83	0.05	0	-61.09	-47.037	744.276	1000	3	0	267	199	0.4	Proao2	2	9.8	12.05	13.3	19/02/2020	09:58:21
Mixed/nonconventional	10	15	30	35	23.41	0.04	0	-81.25	-18.49	744.276	1000	3	0	267	199	0.4	Proao2	3	9.8	12.05	13.3	19/02/2020	09:58:21
Mixed/nonconventional	10	15	35	40	33.22	0.08	0	-619.97	-13.116	744.276	1000	3	0	267	199	0.4	Proao2	4	9.8	12.05	13.3	19/02/2020	09:58:21
Mixed/nonconventional	10	15	40	45	31.61	0.18	0	262.45	-7.132	744.276	1000	3	0	267	199	0.4	Proao2	5	9.8	12.05	13.3	19/02/2020	09:58:21
Mixed/nonconventional	10	20	50	60	33.2	0.07	0	692.04	-15.393	873.956	1000	3	0	232	203	0.3	Proao2	1	9.66	12.05	13.3	19/02/2020	09:58:27
Mixed/nonconventional	10	20	60	70	46.93	0.03	0	22.67	-10.88	873.956	1000	3	0	232	203	0.3	Proao2	2	9.66	12.05	13.3	19/02/2020	09:58:27
Mixed/nonconventional	10	20	70	80	51.4	0.15	0	-233.56	-6.809	873.956	1000	3	0	232	203	0.3	Proao2	3	9.66	12.05	13.3	19/02/2020	09:58:27
Mixed/nonconventional	10	25	85	100	76.1	0	0	-14.84	-11.465	851.979	1000	3	0	236	201	0.3	Proao2	1	9.63	12.03	13.3	19/02/2020	09:58:33
Mixed/nonconventional	10	25	100	115	94.48	0.08	0	111.45	-8.134	851.979	1000	3	0	236	201	0.3	Proao2	2	9.63	12.03	13.3	19/02/2020	09:58:33
Mixed/nonconventional	15	25	55	65	39.55	0.07	0	-81.49	-14.835	707.034	1000	3	0	276	195	0.4	Proao2	1	9.71	12.03	13.3	19/02/2020	09:58:39
Mixed/nonconventional	20	25	30	35	25.91	0.1	0	-82.75	-226.372	823.28	1000	3	0	241	199	0.3	Proao2	1	9.57	12.03	13.3	19/02/2020	09:58:45
Mixed/nonconventional	20	25	35	40	34.29	0.03	0	-618.7	-74.875	823.28	1000	3	0	241	199	0.3	Proao2	2	9.57	12.03	13.3	19/02/2020	09:58:45
Mixed/nonconventional	20	25	40	45	31.97	0.04	0	263.23	-27.926	823.28	1000	3	0	241	199	0.3	Proao2	3	9.57	12.03	13.3	19/02/2020	09:58:45
Mixed/nonconventional	20	25	45	50	32.66	0.03	0	-245.12	-14.263	823.28	1000	3	0	241	199	0.3	Proao2	4	9.57	12.03	13.3	19/02/2020	09:58:45
Mixed/nonconventional	20	25	50	55	31.3	0.15	0	793.39	-7.811	823.28	1000	3	0	241	199	0.3	Proao2	5	9.57	12.03	13.3	19/02/2020	09:58:45
Mixed/nonconventional	20	30	60	70	40	0.13	0	24.2	-16.641	784.207	1000	3	0	252	197	0.3	Proao2	1	9.6	12.03	13.3	19/02/2020	09:58:51
Mixed/nonconventional	20	30	70	80	45.72	0.3	0	-231.9	-9.51	784.207	1000	3	0	252	197	0.3	Proao2	2	9.6	12.03	13.3	19/02/2020	09:58:51
Mixed/nonconventional	20	30	80	90	55.43	0.23	0	-129.85	-6.589	784.207	1000	3	0	252	197	0.3	Proao2	3	9.6	12.03	13.3	19/02/2020	09:58:51
Mixed/nonconventional	20	35	95	110	85.7	0.06	0	-288.61	-11.514	759.698	1000	3	0	259	197	0.3	Proao2	1	9.6	12.03	13.8	19/02/2020	09:58:57
Mixed/nonconventional	25	35	65	75	40.37	0.03	0	-368.61	-16.043	749.123	1000	3	0	261	195	0.3	Proao2	1	9.6	12.05	13.8	19/02/2020	09:59:03
Mixed/nonconventional	30	35	40	45	25.33	0.07	0	262.56	-193.963	721.654	1000	3	0	269	194	0.4	Proao2	1	9.63	12.03	13.3	19/02/2020	09:59:09
Mixed/nonconventional	30	35	45	50	23.81	0.08	0	-245.75	-45.58	721.654	1000	3	0	269	194	0.4	Proao2	2	9.63	12.03	13.3	19/02/2020	09:59:09
Mixed/nonconventional	30	35	50	55	22.18	0	0	789.08	-16.985	721.654	1000	3	0	269	194	0.4	Proao2	3	9.63	12.03	13.3	19/02/2020	09:59:09
Mixed/nonconventional	30	35	55	60	26.27	0.1	0	-99.16	-10.057	721.654	1000	3	0	269	194	0.4	Proao2	4	9.63	12.03	13.3	19/02/2020	09:59:09
Mixed/nonconventional	30	35	60	65	34.54	0	0	23.02	-7.556	721.654	1000	3	0	269	194	0.4	Proao2	5	9.63	12.03	13.3	19/02/2020	09:59:09
Mixed/nonconventional	30	40	70	80	43.48	0.05	0	-230.84	-17.38	753.44	1000	3	0	259	195	0.3	Proao2	1	9.57	12.03	13.3	19/02/2020	09:59:15
Mixed/nonconventional	30	40	80	90	54.04	0.18	0	-130.39	-10.8	753.44	1000	3	0	259	195	0.3	Proao2	2	9.57	12.03	13.3	19/02/2020	09:59:15
Mixed/nonconventional	30	40	90	100	76.29	0.17	0	344.98	-8.713	753.44	1000	3	0	259	195	0.3	Proao2	3	9.57	12.03	13.3	19/02/2020	09:59:15
Mixed/nonconventional	35	40	45	50	25.2	0.06	0	-246.23	-197.23	737.673	1000	3	0	262	193	0.4	Proao2	1	9.6	12.03	13.8	19/02/2020	09:59:21
Mixed/nonconventional	35	40	50	55	21.68	0.05	0	786.99	-42.426	737.673	1000	3	0	262	193	0.4	Proao2	2	9.6	12.03	13.8	19/02/2020	09:59:21
Mixed/nonconventional	35	40	55	60	25.72	0.08	0	-98.04	-20.132	737.673	1000	3	0	262	193	0.4	Proao2	3	9.6	12.03	13.8	19/02/2020	09:59:21
Mixed/nonconventional	35	40	60	65	33.69	0.09	0	23.33	-13.186	737.673	1000	3	0	262	193	0.4	Proao2	4	9.6	12.03	13.8	19/02/2020	09:59:21
Mixed/nonconventional	35	40	65	70	39.66	0.14	0	1.88	-8.869	737.673	1000	3	0	262	193	0.4	Proao2	5	9.6	12.03	13.8	19/02/2020	09:59:21
Mixed/nonconventional	35	45	75	85	42.76	0.08	0	367.58	-15.431	680.178	1000	3	0	282	192	0.4	Proao2	1	9.63	12.03	13.8	19/02/2020	09:59:27
Mixed/nonconventional	40	45	50	55	21.71	0.06	0	784.86	-163.425	709.315	1000	3	0	272	193	0.4	Proao2	1	9.6	12.05	13.8	19/02/2020	09:59:33
Mixed/nonconventional	40	45	55	60	24.13	0.07	0	-96.51	-45.405	709.315	1000	3	0	272	193	0.4	Proao2	2	9.6	12.05	13.8	19/02/2020	09:59:33
Mixed/nonconventional	40	45	60	65	30.74	0.07	0	23.6	-23.135	709.315	1000	3	0	272	193	0.4	Proao2	3	9.6	12.05	13.8	19/02/2020	09:59:33
Mixed/nonconventional	40	45	65	70	35.16	0.12	0	1.92	-13.23	709.315	1000	3	0	272	193	0.4	Proao2	4	9.6	12.05	13.8	19/02/2020	09:59:33
Mixed/nonconventional	40	45	70	75	37.79	0.29	0	-371.48	-8.127	709.315	1000	3	0	272	193	0.4	Proao2	5	9.6	12.05	13.8	19/02/2020	09:59:33
Mixed/nonconventional	40	50	80	90	47.86	0.1	0	-130.42	-17.571	692.043	1000	3	0	277	192	0.4	Proao2	1	9.6	12.03	13.8	19/02/2020	09:59:39
Mixed/nonconventional	40	50	90	100	69.51	0.1	0	345.5	-12.759	692.043	1000	3	0	277	192	0.4	Proao2	2	9.6	12.03	13.8	19/02/2020	09:59:39
Mixed/nonconventional	40	50	100	110	86.61	0.06	0	-299.6	-9.086	692.043	1000	3	0	277	192	0.4	Proao2	3	9.6	12.03	13.8	19/02/2020	09:59:39
Mixed/nonconventional	45	50	55	60	27.91	0.07	0	-95.14	-191.431	646.332	1000	3	0	293	189	0.5	Proao2	1	9.66	12.03	13.8	19/02/2020	09:59:45
Mixed/nonconventional	45	50	60	65	34.77	0	0	23.92	-59.618	646.332	1000	3	0	293	189	0.5	Proao2	2	9.66	12.03	13.8	19/02/2020	09:59:45
Mixed/nonconventional	45	50	65	70	37.9	0.05	0	1.73	-25.989	646.332	1000	3	0	293	189	0.5	Proao2	3	9.66	12.03	13.8	19/02/2020	09:59:45
Mixed/nonconventional	45	50	70	75	39.23	0.11	0	-371.79	-13.451	646.332	1000	3	0	293	189	0.5	Proao2	4	9.66	12.03	13.8	19/02/2020	09:59:45
Mixed/nonconventional	45	50	75	80	38.74	0.03	0	142.92	-7.591	646.332	1000	3	0	293	189	0.5	Proao2	5	9.66	12.03	13.8	19/02/2020	09:59:45
Mixed/nonconventional	45	55	85	95	55.81	0.08	0	-21.21	-18.511	625.158	1000	3	0	301	188	0.5	Proao2	1	9.66	12.03	13.8	19/02/2020	09:59:51
Mixed/nonconventional	50	55	60	65	31.82	0.07	0	23.99	-207.631	614.983	1000	3	0	304	187	0.5	Proao2	1	9.66	12.03	13.8	19/02/2020	09:59:57
Mixed/nonconventional	50	55	65	70	36.31	0.05	0	1.58	-59.24	614.983	1000	3	0	304	187	0.5	Proao2	2	9.66	12.03	13.8	19/02/2020	09:59:57
