El-array	Spa.1	Spa.2	Spa.3	Spa.4	Rho	Dev.	M	Sp	Vp	In	Time	Stack	Rs-Check	Vab	Pab	Rab	Name	Channel	Tx-Bat	Rx-Bat	Temp.	Date	
Mixed/nonconventional	110	115	145	140	44.09	0.28	0	-26.73	11.386	851.899	1000	3	0	233	198	0.3	Probo2	1	9.51	12.05	20.6	19/02/2020	10:28:29
Mixed/nonconventional	110	115	140	135	42.57	0.17	0	865.69	19.24	851.899	1000	3	0	233	198	0.3	Probo2	2	9.51	12.05	20.6	19/02/2020	10:28:29
Mixed/nonconventional	110	115	135	130	38.66	0.07	0	-701.21	34.946	851.899	1000	3	0	233	198	0.3	Probo2	3	9.51	12.05	20.6	19/02/2020	10:28:29
Mixed/nonconventional	110	115	130	125	44.43	0.04	0	576.38	100.394	851.899	1000	3	0	233	198	0.3	Probo2	4	9.51	12.05	20.6	19/02/2020	10:28:29
Mixed/nonconventional	110	115	125	120	37.59	0.04	0	-59.25	339.75	851.899	1000	3	0	233	198	0.3	Probo2	5	9.51	12.05	20.6	19/02/2020	10:28:29
Mixed/nonconventional	0	15	105	120	92.2	0.9	0	-167.62	-3.304	567.348	1000	4	0	324	184	0.6	Probo2	1	9.71	12.05	20.6	19/02/2020	10:28:36
Mixed/nonconventional	0	20	160	140	111.49	0.3	0	-605.72	3.306	625.991	1000	3	0	298	186	0.5	Probo2	1	9.6	12.05	20.2	19/02/2020	10:28:42
Mixed/nonconventional	0	20	140	120	102.94	0.17	0	681.32	4.884	625.991	1000	3	0	298	186	0.5	Probo2	2	9.6	12.05	20.2	19/02/2020	10:28:42
Mixed/nonconventional	0	25	175	200	143.88	0.25	0	594.99	-3.363	616.874	1000	3	0	300	185	0.5	Probo2	1	9.54	12.05	20.6	19/02/2020	10:28:48
Mixed/nonconventional	10	25	115	130	98.84	0.03	0	-828.4	-5.217	835.721	1000	3	0	230	192	0.3	Probo2	1	9.3	12.05	20.2	19/02/2020	10:28:54
Mixed/nonconventional	10	30	170	150	126.56	0.21	0	461.88	4.758	793.743	1000	3	0	239	190	0.3	Probo2	1	9.3	12.05	20.6	19/02/2020	10:29:00
Mixed/nonconventional	10	30	150	130	100.41	0.24	0	-739.4	6.04	793.743	1000	3	0	239	190	0.3	Probo2	2	9.3	12.05	20.6	19/02/2020	10:29:00
Mixed/nonconventional	10	35	185	210	142.43	1	0	-555.84	-4.185	775.387	1000	6	0	244	189	0.3	Probo2	1	9.3	12.03	20.6	19/02/2020	10:29:10
Mixed/nonconventional	20	35	110	125	88.68	0	0	64.35	-6.737	751.79	1000	3	0	251	189	0.3	Probo2	1	9.3	12.03	20.6	19/02/2020	10:29:16
Mixed/nonconventional	20	35	125	140	103.87	0.07	0	-740.09	-4.932	751.79	1000	3	0	251	189	0.3	Probo2	2	9.3	12.03	20.6	19/02/2020	10:29:16
Mixed/nonconventional	20	40	180	160	137.58	0.08	0	-99.38	5.135	787.906	1000	3	0	241	190	0.3	Probo2	1	9.27	12.05	20.6	19/02/2020	10:29:22
Mixed/nonconventional	20	40	160	140	116.2	0.05	0	-603.82	6.939	787.906	1000	3	0	241	190	0.3	Probo2	2	9.27	12.05	20.6	19/02/2020	10:29:22
Mixed/nonconventional	20	45	195	220	140.98	0.68	0	-514.48	-3.841	719.005	1000	3	0	260	187	0.4	Probo2	1	9.33	12.05	20.6	19/02/2020	10:29:28
Mixed/nonconventional	30	45	105	120	88.42	0.19	0	-168.38	-10.682	683.202	1000	3	0	273	187	0.4	Probo2	1	9.36	12.05	20.6	19/02/2020	10:29:34
Mixed/nonconventional	30	45	120	135	103.69	0.15	0	182.56	-7.159	683.202	1000	3	0	273	187	0.4	Probo2	2	9.36	12.05	20.6	19/02/2020	10:29:34
Mixed/nonconventional	30	45	135	150	107.65	0.16	0	37.81	-4.645	683.202	1000	3	0	273	187	0.4	Probo2	3	9.36	12.05	20.6	19/02/2020	10:29:34
Mixed/nonconventional	30	50	190	170	150.02	0.07	0	-233.35	4.758	669.601	1000	3	0	278	186	0.4	Probo2	1	9.39	12.05	20.6	19/02/2020	10:29:39
Mixed/nonconventional	30	50	170	150	136.73	0.07	0	459.99	6.939	669.601	1000	3	0	278	186	0.4	Probo2	2	9.39	12.05	20.6	19/02/2020	10:29:40
Mixed/nonconventional	30	55	205	230	138.69	0.19	0	66.68	-3.38	643.087	1000	3	0	288	185	0.4	Probo2	1	9.42	12.05	20.6	19/02/2020	10:29:45
Mixed/nonconventional	30	225	120	135	155.05	0.12	0	181.11	54.348	693.74	1000	3	0	269	186	0.4	Probo2	1	9.33	12.05	20.6	19/02/2020	10:29:51
Mixed/nonconventional	40	55	115	130	94.46	0.1	0	-810.44	-10.978	657.255	1000	3	0	278	183	0.4	Probo2	1	9.36	12.05	20.6	19/02/2020	10:29:57
Mixed/nonconventional	40	55	130	145	103.76	0.19	0	-134.31	-6.891	657.255	1000	3	0	278	183	0.4	Probo2	2	9.36	12.05	20.6	19/02/2020	10:29:57
Mixed/nonconventional	40	55	145	160	124.87	4.46	0	577.3	-5.184	657.255	1000	3	0	278	183	0.4	Probo2	3	9.36	12.05	20.6	19/02/2020	10:29:57
Mixed/nonconventional	40	60	200	180	156.16	1.19	0	14.89	3.769	509.58	1000	6	0	342	174	0.7	Probo2	1	9.6	12.05	20.6	19/02/2020	10:30:07
Mixed/nonconventional	40	60	180	160	136.16	6.12	0	-133.04	5.258	509.58	1000	6	0	342	174	0.7	Probo2	2	9.6	12.05	20.6	19/02/2020	10:30:07
Mixed/nonconventional	40	235	130	145	144.04	0.06	0	-133.62	50.975	700.432	1000	3	0	266	186	0.4	Probo2	1	9.3	12.05	20.6	19/02/2020	10:30:13
Mixed/nonconventional	115	160	135	140	64.9	0.06	0	-857.38	188.373	911.842	1000	3	0	209	191	0.2	Probo2	1	9.12	12.05	20.6	19/02/2020	10:30:19
Mixed/nonconventional	115	150	130	135	56.26	0.04	0	700.13	202.562	678.694	1000	3	0	167	113	0.2	Probo2	1	10.97	12.05	21.1	19/02/2020	10:30:25
Mixed/nonconventional	50	60	110	120	79.56	0.41	0	-56.11	-5.86	485.889	1000	3	0	357	173	0.7	Probo2	1	9.66	12.03	21.1	19/02/2020	10:30:31
Mixed/nonconventional	50	65	170	155	143.6	0.35	0	420.78	5.714	630.02	1000	3	0	290	183	0.5	Probo2	1	9.42	12.05	21.1	19/02/2020	10:30:37
Mixed/nonconventional	50	65	155	140	113.8	0.24	0	-857.97	7.245	630.02	1000	3	0	290	183	0.5	Probo2	2	9.42	12.05	21.1	19/02/2020	10:30:37
Mixed/nonconventional	50	65	140	125	105.5	0.18	0	740.52	11.754	630.02	1000	3	0	290	183	0.5	Probo2	3	9.42	12.05	21.1	19/02/2020	10:30:37
Mixed/nonconventional	50	70	210	190	158.47	0.21	0	516.3	4.978	663.16	1000	3	0	278	184	0.4	Probo2	1	9.36	12.05	21.1	19/02/2020	10:30:43
Mixed/nonconventional	50	70	190	170	158.79	0.15	0	-233.52	7.981	663.16	1000	3	0	278	184	0.4	Probo2	2	9.36	12.05	21.1	19/02/2020	10:30:43
Mixed/nonconventional	50	215	125	140	139.62	0.16	0	-739.25	21.67	219.419	1000	3	0	398	87	1.8	Probo2	1	11.26	12.05	20.6	19/02/2020	10:30:49
Mixed/nonconventional	60	70	110	120	78.09	0.14	0	-64.23	-10.47	505.443	1000	3	0	348	176	0.7	Probo2	1	9.63	12.05	20.6	19/02/2020	10:30:55
Mixed/nonconventional	60	70	120	130	100.68	0.22	0	-520.07	-7.713	505.443	1000	3	0	348	176	0.7	Probo2	2	9.63	12.05	20.6	19/02/2020	10:30:55
Mixed/nonconventional	60	75	180	165	145.02	0.12	0	-594.46	4.491	490.296	1000	3	0	356	175	0.7	Probo2	1	9.66	12.03	20.6	19/02/2020	10:31:01
Mixed/nonconventional	60	75	165	150	144.3	0.14	0	913.14	7.149	490.296	1000	3	0	356	175	0.7	Probo2	2	9.66	12.03	20.6	19/02/2020	10:31:01
Mixed/nonconventional	60	75	150	135	108.98	0.12	0	-163.82	9.449	490.296	1000	3	0	356	175	0.7	Probo2	3	9.66	12.03	20.6	19/02/2020	10:31:01
Mixed/nonconventional	60	80	220	200	153.1	0.83	0	501.69	3.258	449.283	1000	3	0	374	168	0.8	Probo2	1	9.77	12.05	21.1	19/02/2020	10:31:07
Mixed/nonconventional	60	80	200	180	165.08	0.56	0	17.32	5.621	449.283	1000	3	0	374	168	0.8	Probo2	2	9.77	12.05	21.1	19/02/2020	10:31:07
Mixed/nonconventional	60	225	135	150	130.48	0	0	146.6	46.58	504.663	1000	3	0	347	175	0.7	Probo2	1	9.63	12.05	20.6	19/02/2020	10:31:12
Mixed/nonconventional	60	190	120	130	127.19	0.07	0	-519.94	45.29	469.851	1000	3	0	364	171	0.8	Probo2	1	9.68	12.03	21.1	19/02/2020	10:31:18
Mixed/nonconventional	70	80	110	120	60.76	0.08	0	-72.61	-18.759	581.95	1000	3	0	307	179	0.5	Probo2	1	9.48	12.05	21.1	19/02/2020	10:31:24
Mixed/nonconventional	70	80	120	130	83.21	0.11	0	-519.77	-12.845	581.95	1000	3	0	307	179	0.5	Probo2	2	9.48	12.05	21.1	19/02/2020	10:31:24
Mixed/nonconventional	70	80	130	140	90.1	0.09	0	-155.3	-7.947	581.95	1000	3	0	307	179	0.5	Probo2	3	9.48	12.05	21.1	19/02/2020	10:31:24
Mixed/nonconventional	70	85	190	175	153.4	7.69	0	-1103.09	6.454	666.212	1000	6	0	274	183	0.4	Probo2	1	9.3	12.03	21.1	19/02/2020	10:31:34
Mixed/nonconventional	70	85	175	160	131.18	0.06	0	844.49	8.831	666.212	1000	6	0	274	183	0.4	Probo2	2	9.3	12.03	21.1	19/02/2020	10:31:34
Mixed/nonconventional	70	85	160	145	111.94	0.11	0	-917.28	13.188	666.212	1000	6	0	274	183	0.4	Probo2	3	9.3	12.03	21.1	19/02/2020	10:31:34
