El-array	Spa.1	Spa.2	Spa.3	Spa.4	Rho	Dev.	M	Sp	Vp	In	Time	Stack	Rs-Check	Vab	Pab	Rab	Name	Channel	Tx-Bat	Rx-Bat	Temp.	Date	
Mixed/nonconventional	0	25	175	200	104.31	0.24	0	-348.53	-3.554	899.19	1000	3	0	221	199	0.2	Proco2	1	9.54	12.03	28.5	19/02/2020	12:19:32
Mixed/nonconventional	10	35	185	210	92.09	0.03	0	58.8	-2.938	841.838	1000	3	0	232	195	0.3	Proco2	1	9.45	12.01	28	19/02/2020	12:19:38
Mixed/nonconventional	20	40	160	180	105.83	0.52	0	172.59	-5.064	1010.185	1000	3	0	195	197	0.2	Proco2	1	9.3	12.01	28.5	19/02/2020	12:19:44
Mixed/nonconventional	20	45	195	220	87.37	0.37	0	49.58	-2.82	851.813	1000	3	0	227	193	0.3	Proco2	1	9.33	12.01	28.5	19/02/2020	12:19:50
Mixed/nonconventional	70	85	175	190	61.48	0.88	0	16.15	-1.408	362.761	1000	3	0	398	144	1.1	Proco2	1	10.28	12.01	28	19/02/2020	12:19:55
Mixed/nonconventional	30	50	170	190	102.01	0.13	0	150.03	-4.166	862.139	1000	3	0	223	192	0.3	Proco2	1	9.3	12.01	28.5	19/02/2020	12:20:01
Mixed/nonconventional	30	55	205	230	86.55	0.05	0	232.54	-2.809	856.458	1000	3	0	224	192	0.3	Proco2	1	9.24	12.03	28.5	19/02/2020	12:20:07
Mixed/nonconventional	30	225	120	135	129.17	0.06	0	-678.26	43.656	668.895	1000	3	0	275	184	0.4	Proco2	1	9.39	12.01	28.5	19/02/2020	12:20:13
Mixed/nonconventional	40	60	200	180	86.61	0.13	0	412.87	3.067	747.604	1000	3	0	249	186	0.3	Proco2	1	9.27	12.01	28.5	19/02/2020	12:20:19
Mixed/nonconventional	40	60	180	160	94.63	0.13	0	-173.86	5.362	747.604	1000	3	0	249	186	0.3	Proco2	2	9.27	12.01	28.5	19/02/2020	12:20:19
Mixed/nonconventional	40	235	130	145	129.74	0.06	0	166.68	33.107	505.062	1000	3	0	341	172	0.7	Proco2	1	9.57	12.03	28.5	19/02/2020	12:20:25
Mixed/nonconventional	50	70	210	190	80.06	0.57	0	-49.64	2.614	689.187	1000	3	0	263	181	0.4	Proco2	1	9.3	12.03	28.5	19/02/2020	12:20:31
Mixed/nonconventional	50	70	190	170	86	0.32	0	-152.25	4.492	689.187	1000	3	0	263	181	0.4	Proco2	2	9.3	12.03	28.5	19/02/2020	12:20:31
