24
# x y z
0	0	0
5	0	0
10	0	0
15	0	0
20	0	0
25	0	0
30	0	0
35	0	0
40	0	0
45	0	0
50	0	0
55	0	0
60	0	0
65	0	0
70	0	0
75	0	0
80	0	0
85	0	0
90	0	0
95	0	0
100	0	0
105	0	0
110	0	0
115	0	0
213
# a b m n rhoa err k
1	2	3	4	3.40617262954026e+01	2.00293584650210e-02	-9.42477796076938e+01
1	2	4	5	2.41181450422205e+01	2.00414625585114e-02	-3.76991118430775e+02
1	2	5	6	2.63931447081938e+01	2.00378886264239e-02	-9.42477796076938e+02
1	2	6	7	2.30173291704231e+01	2.00434455271763e-02	-1.88495559215388e+03
1	2	7	8	2.70978629099852e+01	2.00369032791745e-02	-3.29867228626927e+03
1	3	9	11	3.49420887818496e+01	2.00286187813855e-02	-1.88495559215388e+03
1	3	11	13	3.71447088997815e+01	2.00269217347402e-02	-3.76991118430776e+03
1	3	13	15	5.20066286745694e+01	2.00192283181103e-02	-6.59734457253853e+03
1	4	16	19	6.00117910426144e+01	2.00166633920206e-02	-5.65486677646164e+03
1	4	19	22	8.55564899812711e+01	2.00116881840316e-02	-9.89601685880784e+03
2	4	10	12	3.27068475045713e+01	2.00305746373098e-02	-1.88495559215388e+03
3	4	5	6	3.33694498202815e+01	2.00299675303424e-02	-9.42477796076938e+01
3	4	6	7	2.38252089784278e+01	2.00419723495775e-02	-3.76991118430775e+02
3	4	7	8	2.34139142595792e+01	2.00427096464484e-02	-9.42477796076938e+02
3	4	8	9	3.32176202735145e+01	2.00301045045300e-02	-1.88495559215388e+03
3	4	9	10	3.16094174011689e+01	2.00316361414482e-02	-3.29867228626927e+03
3	5	11	13	3.31997508227240e+01	2.00301207079939e-02	-1.88495559215388e+03
3	5	13	15	4.69321495421606e+01	2.00213073556135e-02	-3.76991118430776e+03
3	5	15	17	5.13999780245400e+01	2.00194552612362e-02	-6.59734457253853e+03
3	6	18	21	7.60970019121747e+01	2.00131411221845e-02	-5.65486677646164e+03
3	6	21	24	9.44790905991145e+01	2.00105843525129e-02	-9.89601685880784e+03
4	6	12	14	3.95501718582172e+01	2.00252843401941e-02	-1.88495559215388e+03
5	6	7	8	2.59147050400263e+01	2.00385881297300e-02	-9.42477796076938e+01
5	6	8	9	3.42862816933538e+01	2.00291661839841e-02	-3.76991118430775e+02
5	6	9	10	3.19692388169815e+01	2.00312800691228e-02	-9.42477796076938e+02
5	6	10	11	3.26561092348786e+01	2.00306221415665e-02	-1.88495559215388e+03
5	6	11	12	3.12966781994573e+01	2.00319522728140e-02	-3.29867228626927e+03
5	7	13	15	3.99990640341551e+01	2.00250005849923e-02	-1.88495559215388e+03
5	7	15	17	4.57173365741020e+01	2.00218735402133e-02	-3.76991118430776e+03
5	7	17	19	5.54316696847342e+01	2.00180402287300e-02	-6.59734457253853e+03
5	8	20	23	8.57052882384571e+01	2.00116678914517e-02	-5.65486677646164e+03
6	8	14	16	4.03676600036638e+01	2.00247723053531e-02	-1.88495559215388e+03
7	8	9	10	2.53315052311040e+01	2.00394765329133e-02	-9.42477796076938e+01
7	8	10	11	2.38109331869216e+01	2.00419975140054e-02	-3.76991118430775e+02
7	8	11	12	2.21823552095142e+01	2.00450808757932e-02	-9.42477796076938e+02
7	8	12	13	2.62688191159359e+01	2.00380679464725e-02	-1.88495559215388e+03
7	8	13	14	3.45383906900683e+01	2.00289532887903e-02	-3.29867228626927e+03
7	9	15	17	4.34812701630314e+01	2.00229984081939e-02	-1.88495559215388e+03
7	9	17	19	5.40388628033073e+01	2.00185052006672e-02	-3.76991118430776e+03
7	9	19	21	7.62936176212150e+01	2.00131072562972e-02	-6.59734457253853e+03
8	9	10	11	2.51988205777159e+01	2.00396843970104e-02	-9.42477796076938e+01
8	9	11	12	2.16819989216686e+01	2.00461212088246e-02	-3.76991118430775e+02
8	9	12	13	2.57213738209490e+01	2.00388781721755e-02	-9.42477796076938e+02
8	9	13	14	3.36938242800551e+01	2.00296790293583e-02	-1.88495559215388e+03
8	9	14	15	3.96597469433233e+01	2.00252144826196e-02	-3.29867228626927e+03
8	10	16	18	4.27634380155290e+01	2.00233844622043e-02	-1.88495559215388e+03
9	10	11	12	2.17145321646763e+01	2.00460521089018e-02	-9.42477796076938e+01
9	10	12	13	2.41321299173842e+01	2.00414385304332e-02	-3.76991118430775e+02
9	10	13	14	3.07398318268188e+01	2.00325310823310e-02	-9.42477796076938e+02
9	10	14	15	3.51578106824131e+01	2.00284431817736e-02	-1.88495559215388e+03
9	10	15	16	3.77946464835938e+01	2.00264587737428e-02	-3.29867228626927e+03
9	11	17	19	4.78590993763910e+01	2.00208946681620e-02	-1.88495559215388e+03
9	11	19	21	6.95047804841358e+01	2.00143874995797e-02	-3.76991118430776e+03
9	11	21	23	8.66181332461785e+01	2.00115449267090e-02	-6.59734457253853e+03
10	11	12	13	2.79143639771517e+01	2.00358238504312e-02	-9.42477796076938e+01
10	11	13	14	3.47738569320503e+01	2.00287572357002e-02	-3.76991118430775e+02
10	11	14	15	3.78970180066027e+01	2.00263873004421e-02	-9.42477796076938e+02
10	11	15	16	3.92283496253657e+01	2.00254917683142e-02	-1.88495559215388e+03
10	11	16	17	3.87420417449082e+01	2.00258117526842e-02	-3.29867228626927e+03
10	12	18	20	5.58137510299163e+01	2.00179167316575e-02	-1.88495559215388e+03
11	12	13	14	3.18200027118230e+01	2.00314267729345e-02	-9.42477796076938e+01
11	12	14	15	3.63147499294112e+01	2.00275370201349e-02	-3.76991118430775e+02
11	12	15	16	3.66120600866659e+01	2.00273134043163e-02	-9.42477796076938e+02
11	12	16	17	3.45799298365647e+01	2.00289185086472e-02	-1.88495559215388e+03
11	12	17	18	3.91292350005355e+01	2.00255563391410e-02	-3.29867228626927e+03
11	13	19	21	6.00680939350376e+01	2.00166477731270e-02	-1.88495559215388e+03
11	13	21	23	7.87348766792748e+01	2.00127008517975e-02	-3.76991118430776e+03
12	13	14	15	3.05637169051322e+01	2.00327185336490e-02	-9.42477796076938e+01
12	13	15	16	3.24076236912252e+01	2.00308569369210e-02	-3.76991118430775e+02
12	13	16	17	3.05064997738089e+01	2.00327798996088e-02	-9.42477796076938e+02
12	13	17	18	3.45097053381672e+01	2.00289773555062e-02	-1.88495559215388e+03
12	13	18	19	4.27593391157137e+01	2.00233867038331e-02	-3.29867228626927e+03
12	14	20	22	6.68837906527065e+01	2.00149513056937e-02	-1.88495559215388e+03
13	14	15	16	3.30050379689456e+01	2.00302984047751e-02	-9.42477796076938e+01
13	14	16	17	2.96687342701084e+01	2.00337055160795e-02	-3.76991118430775e+02
13	14	17	18	3.31120128647180e+01	2.00302005197958e-02	-9.42477796076938e+02
13	14	18	19	4.05075697385150e+01	2.00246867438964e-02	-1.88495559215388e+03
13	14	19	20	5.29178162209932e+01	2.00188972272745e-02	-3.29867228626927e+03
13	15	21	23	7.20089877664442e+01	2.00138871553540e-02	-1.88495559215388e+03
14	15	16	17	2.74626807548813e+01	2.00364130511848e-02	-9.42477796076938e+01
14	15	17	18	2.96712350824446e+01	2.00337026752416e-02	-3.76991118430775e+02
14	15	18	19	3.61394728592616e+01	2.00276705751601e-02	-9.42477796076938e+02
14	15	19	20	4.75817336156126e+01	2.00210164683800e-02	-1.88495559215388e+03
14	15	20	21	5.51817875094082e+01	2.00181219211108e-02	-3.29867228626927e+03
14	16	22	24	6.90859722275017e+01	2.00144747184958e-02	-1.88495559215388e+03
15	16	17	18	2.77494809695047e+01	2.00360367100595e-02	-9.42477796076938e+01
15	16	18	19	3.35129156523487e+01	2.00298392419918e-02	-3.76991118430775e+02
15	16	19	20	4.36757763521340e+01	2.00228959868266e-02	-9.42477796076938e+02
15	16	20	21	4.85722896662668e+01	2.00205878703036e-02	-1.88495559215388e+03
15	16	21	22	5.79738758318831e+01	2.00172491486148e-02	-3.29867228626927e+03
16	17	18	19	2.82970604075813e+01	2.00353393598344e-02	-9.42477796076938e+01
16	17	19	20	3.99452500909037e+01	2.00250342655941e-02	-3.76991118430775e+02
16	17	20	21	4.25851794998611e+01	2.00234823478906e-02	-9.42477796076938e+02
16	17	21	22	4.81112423415682e+01	2.00207851627048e-02	-1.88495559215388e+03
16	17	22	23	5.37565179832564e+01	2.00186023953469e-02	-3.29867228626927e+03
17	18	19	20	4.05190483855103e+01	2.00246797503852e-02	-9.42477796076938e+01
17	18	20	21	4.51300762689641e+01	2.00221581721697e-02	-3.76991118430775e+02
17	18	21	22	4.88698129830187e+01	2.00204625297082e-02	-9.42477796076938e+02
17	18	22	23	4.86058865935153e+01	2.00205736397396e-02	-1.88495559215388e+03
17	18	23	24	4.96891540846103e+01	2.00201251162034e-02	-3.29867228626927e+03
18	19	20	21	3.68751772394014e+01	2.00271185137229e-02	-9.42477796076938e+01
18	19	21	22	4.49029188835655e+01	2.00222702671644e-02	-3.76991118430775e+02
18	19	22	23	4.51429187185519e+01	2.00221518685186e-02	-9.42477796076938e+02
18	19	23	24	4.50748474525511e+01	2.00221853218927e-02	-1.88495559215388e+03
19	20	21	22	3.50264380401448e+01	2.00285498627880e-02	-9.42477796076938e+01
19	20	22	23	3.97425545084850e+01	2.00251619457372e-02	-3.76991118430775e+02
19	20	23	24	4.07166367268303e+01	2.00245599853129e-02	-9.42477796076938e+02
20	21	22	23	3.07728725901097e+01	2.00324961537819e-02	-9.42477796076938e+01
20	21	23	24	3.53747189497422e+01	2.00282687758289e-02	-3.76991118430775e+02
